STATE,YEAR,PARTICIPATION RATE,MEAN SAT I VERBAL,MEAN SAT I MATH
Wyoming,1997,0%,543,543
Michigan,1997,0%,557,566
Illinois,1997,0%,562,578
Minnesota,1997,0%,582,592
Alabama,1997,0%,561,555
Kansas,1997,0%,578,575
Louisiana,1997,0%,560,553
Missouri,1997,0%,567,568
Nebraska,1997,0%,562,564
Oklahoma,1997,0%,568,560
Wisconsin,1997,0%,579,590
Utah,1997,0%,576,570
Arkansas,1997,0%,567,558
Iowa,1997,0%,589,601
South Dakota,1997,0%,574,570
Mississippi,1997,0%,567,551
North Dakota,1997,0%,588,595
All Students,1997,0%,505,511
New York,1996,0%,497,499
Connecticut,1996,0%,507,504
Massachusetts,1996,0%,507,504
New Jersey,1996,0%,498,505
New Hampshire,1996,0%,520,514
D.C.,1996,0%,489,473
Maine,1996,0%,504,498
Pennsylvania,1996,0%,498,492
Delaware,1996,0%,508,495
Georgia,1996,0%,484,477
Rhode Island,1996,0%,501,491
Virginia,1996,0%,507,496
North Carolina,1996,0%,490,486
Maryland,1996,0%,507,504
Florida,1996,0%,498,496
Vermont,1996,0%,506,500
Indiana,1996,0%,494,494
South Carolina,1996,0%,480,474
Hawaii,1996,0%,485,510
Oregon,1996,0%,523,521
Alaska,1996,0%,521,513
Texas,1996,0%,495,500
Washington,1996,0%,519,519
California,1996,0%,495,511
Nevada,1996,0%,508,507
Arizona,1996,0%,525,521
Montana,1996,0%,546,547
Ohio,1996,0%,536,535
Colorado,1996,0%,536,538
Idaho,1996,0%,543,536
West Virginia,1996,0%,526,506
Tennessee,1996,0%,563,552
New Mexico,1996,0%,554,548
Kentucky,1996,0%,549,544
Wyoming,1996,0%,544,544
Michigan,1996,0%,557,565
Illinois,1996,0%,564,575
Minnesota,1996,0%,582,593
Alabama,1996,0%,565,558
Kansas,1996,0%,579,571
Louisiana,1996,0%,559,550
Missouri,1996,0%,570,569
Nebraska,1996,0%,567,568
Oklahoma,1996,0%,566,557
Wisconsin,1996,0%,577,586
Utah,1996,0%,583,575
Arkansas,1996,0%,566,550
Iowa,1996,0%,590,600
South Dakota,1996,0%,574,566
Mississippi,1996,0%,569,557
North Dakota,1996,0%,596,599
All Students,1996,0%,505,508
New York,1995,0%,495,498
Connecticut,1995,0%,507,502
Massachusetts,1995,0%,505,502
New Jersey,1995,0%,496,503
New Hampshire,1995,0%,520,515
D.C.,1995,0%,485,471
Maine,1995,0%,504,497
Pennsylvania,1995,0%,496,489
Delaware,1995,0%,505,494
Georgia,1995,0%,483,477
Rhode Island,1995,0%,502,490
Virginia,1995,0%,504,494
North Carolina,1995,0%,488,482
Maryland,1995,0%,506,503
Florida,1995,0%,497,496
Vermont,1995,0%,506,499
Indiana,1995,0%,492,494
South Carolina,1995,0%,478,473
Hawaii,1995,0%,483,507
Oregon,1995,0%,525,522
Alaska,1995,0%,521,513
Texas,1995,0%,495,501
Washington,1995,0%,519,517
California,1995,0%,492,509
Nevada,1995,0%,511,508
Arizona,1995,0%,524,520
Montana,1995,0%,549,553
Ohio,1995,0%,536,535
Colorado,1995,0%,538,538
Idaho,1995,0%,544,532
West Virginia,1995,0%,525,509
Tennessee,1995,0%,571,560
New Mexico,1995,0%,559,549
Kentucky,1995,0%,552,542
Wyoming,1995,0%,551,544
Michigan,1995,0%,559,565
Illinois,1995,0%,563,574
Minnesota,1995,0%,580,591
Alabama,1995,0%,565,555
Kansas,1995,0%,576,571
Louisiana,1995,0%,560,552
Missouri,1995,0%,569,566
Nebraska,1995,0%,568,570
Oklahoma,1995,0%,565,553
Wisconsin,1995,0%,574,585
Utah,1995,0%,585,576
Arkansas,1995,0%,556,542
Iowa,1995,0%,589,595
South Dakota,1995,0%,579,576
Mississippi,1995,0%,572,557
North Dakota,1995,0%,587,602
All Students,1995,0%,504,506
New York,1994,0%,492,497
Connecticut,1994,0%,502,497
Massachusetts,1994,0%,502,500
New Jersey,1994,0%,494,500
New Hampshire,1994,0%,515,510
D.C.,1994,0%,479,468
Maine,1994,0%,497,490
Pennsylvania,1994,0%,494,489
Delaware,1994,0%,505,491
Georgia,1994,0%,474,474
Rhode Island,1994,0%,496,488
Virginia,1994,0%,501,495
North Carolina,1994,0%,482,482
Maryland,1994,0%,505,503
Florida,1994,0%,490,492
Vermont,1994,0%,504,498
Indiana,1994,0%,488,493
South Carolina,1994,0%,473,473
Hawaii,1994,0%,477,504
Oregon,1994,0%,513,515
Alaska,1994,0%,510,502
Texas,1994,0%,489,500
Washington,1994,0%,511,512
California,1994,0%,489,506
Nevada,1994,0%,506,508
Arizona,1994,0%,519,519
Montana,1994,0%,540,542
Ohio,1994,0%,533,531
Colorado,1994,0%,532,534
Idaho,1994,0%,537,529
West Virginia,1994,0%,516,507
Tennessee,1994,0%,562,553
New Mexico,1994,0%,550,546
Kentucky,1994,0%,549,543
Wyoming,1994,0%,535,541
Michigan,1994,0%,547,554
Illinois,1994,0%,553,562
Minnesota,1994,0%,569,576
Alabama,1994,0%,556,547
Kansas,1994,0%,568,565
Louisiana,1994,0%,556,549
Missouri,1994,0%,560,554
Nebraska,1994,0%,557,559
Oklahoma,1994,0%,557,554
Wisconsin,1994,0%,562,572
Utah,1994,0%,582,573
Arkansas,1994,0%,552,537
Iowa,1994,0%,580,586
South Dakota,1994,0%,558,563
Mississippi,1994,0%,559,546
North Dakota,1994,0%,570,573
All Students,1994,0%,499,504
New York,1993,0%,492,496
Connecticut,1993,0%,506,498
Massachusetts,1993,0%,503,500
New Jersey,1993,0%,494,498
New Hampshire,1993,0%,518,511
D.C.,1993,0%,479,466
Maine,1993,0%,499,490
Pennsylvania,1993,0%,495,487
Delaware,1993,0%,506,491
Georgia,1993,0%,475,474
Rhode Island,1993,0%,496,490
Virginia,1993,0%,502,495
North Carolina,1993,0%,483,481
Maryland,1993,0%,507,503
Florida,1993,0%,493,492
Vermont,1993,0%,503,493
Indiana,1993,0%,487,487
South Carolina,1993,0%,473,472
Hawaii,1993,0%,477,502
Oregon,1993,0%,518,515
Alaska,1993,0%,514,502
Texas,1993,0%,490,498
Washington,1993,0%,511,510
California,1993,0%,491,508
Nevada,1993,0%,509,512
Arizona,1993,0%,520,520
Montana,1993,0%,535,537
Ohio,1993,0%,530,527
Colorado,1993,0%,530,530
Idaho,1993,0%,541,528
West Virginia,1993,0%,516,510
Tennessee,1993,0%,561,549
New Mexico,1993,0%,553,544
Kentucky,1993,0%,551,542
Wyoming,1993,0%,539,528
Michigan,1993,0%,544,546
Illinois,1993,0%,550,558
Minnesota,1993,0%,564,570
Alabama,1993,0%,554,545
Kansas,1993,0%,568,564
Louisiana,1993,0%,556,546
Missouri,1993,0%,556,550
Nebraska,1993,0%,554,560
Oklahoma,1993,0%,557,548
Wisconsin,1993,0%,560,566
Utah,1993,0%,573,565
Arkansas,1993,0%,553,539
Iowa,1993,0%,593,595
South Dakota,1993,0%,576,572
Mississippi,1993,0%,555,540
North Dakota,1993,0%,590,594
All Students,1993,0%,500,503
New York,1992,0%,493,492
Connecticut,1992,0%,506,496
Massachusetts,1992,0%,503,499
New Jersey,1992,0%,497,497
New Hampshire,1992,0%,517,508
D.C.,1992,0%,478,463
Maine,1992,0%,500,488
Pennsylvania,1992,0%,495,487
Delaware,1992,0%,509,491
Georgia,1992,0%,475,473
Rhode Island,1992,0%,498,487
Virginia,1992,0%,501,494
North Carolina,1992,0%,482,479
Maryland,1992,0%,507,501
Florida,1992,0%,493,494
Vermont,1992,0%,506,495
Indiana,1992,0%,486,487
South Carolina,1992,0%,471,467
Hawaii,1992,0%,477,502
Oregon,1992,0%,516,510
Alaska,1992,0%,509,501
Texas,1992,0%,487,493
Washington,1992,0%,509,509
California,1992,0%,492,508
Nevada,1992,0%,511,512
Arizona,1992,0%,516,517
Montana,1992,0%,541,542
Ohio,1992,0%,527,523
Colorado,1992,0%,529,528
Idaho,1992,0%,537,526
West Virginia,1992,0%,518,509
Tennessee,1992,0%,559,548
New Mexico,1992,0%,550,541
Kentucky,1992,0%,545,538
Wyoming,1992,0%,539,537
Michigan,1992,0%,540,542
Illinois,1992,0%,549,555
Minnesota,1992,0%,567,575
Alabama,1992,0%,551,539
Kansas,1992,0%,562,562
Louisiana,1992,0%,547,540
Missouri,1992,0%,550,547
Nebraska,1992,0%,553,557
Oklahoma,1992,0%,556,546
Wisconsin,1992,0%,556,564
Utah,1992,0%,570,562
Arkansas,1992,0%,549,536
Iowa,1992,0%,585,595
South Dakota,1992,0%,565,565
Mississippi,1992,0%,552,545
North Dakota,1992,0%,576,580
All Students,1992,0%,500,501
New York,1991,0%,489,494
Connecticut,1991,0%,505,494
Massachusetts,1991,0%,502,495
New Jersey,1991,0%,493,495
New Hampshire,1991,0%,517,506
D.C.,1991,0%,478,462
Maine,1991,0%,498,486
Pennsylvania,1991,0%,495,487
Delaware,1991,0%,505,491
Georgia,1991,0%,476,474
Rhode Island,1991,0%,497,487
Virginia,1991,0%,501,493
North Carolina,1991,0%,478,474
Maryland,1991,0%,505,501
Florida,1991,0%,493,492
Vermont,1991,0%,501,494
Indiana,1991,0%,485,485
South Carolina,1991,0%,472,468
Hawaii,1991,0%,481,503
Oregon,1991,0%,515,508
Alaska,1991,0%,515,505
Texas,1991,0%,488,491
Washington,1991,0%,510,505
California,1991,0%,491,507
Nevada,1991,0%,512,508
Arizona,1991,0%,519,514
Montana,1991,0%,540,539
Ohio,1991,0%,526,519
Colorado,1991,0%,529,527
Idaho,1991,0%,539,527
West Virginia,1991,0%,518,510
Tennessee,1991,0%,561,546
New Mexico,1991,0%,549,542
Kentucky,1991,0%,548,540
Wyoming,1991,0%,542,535
Michigan,1991,0%,536,538
Illinois,1991,0%,546,553
Minnesota,1991,0%,555,560
Alabama,1991,0%,550,535
Kansas,1991,0%,567,562
Louisiana,1991,0%,551,538
Missouri,1991,0%,551,545
Nebraska,1991,0%,556,560
Oklahoma,1991,0%,552,541
Wisconsin,1991,0%,556,558
Utah,1991,0%,567,555
Arkansas,1991,0%,557,542
Iowa,1991,0%,588,590
South Dakota,1991,0%,570,567
Mississippi,1991,0%,551,539
North Dakota,1991,0%,576,583
All Students,1991,0%,499,500
New York,1990,70%,412,470
Connecticut,1990,74%,430,471
Massachusetts,1990,71%,427,473
New Jersey,1990,69%,418,473
New Hampshire,1990,67%,442,486
D.C.,1990,68%,409,441
Maine,1990,60%,423,463
Pennsylvania,1990,64%,420,463
Delaware,1990,58%,433,470
Georgia,1990,57%,401,443
Rhode Island,1990,62%,422,461
Virginia,1990,58%,424,470
North Carolina,1990,55%,401,440
Maryland,1990,59%,430,478
Florida,1990,44%,418,466
Vermont,1990,62%,431,466
Indiana,1990,54%,408,459
South Carolina,1990,54%,397,437
Hawaii,1990,52%,404,481
Oregon,1990,49%,439,484
Alaska,1990,42%,438,476
Texas,1990,42%,413,461
Washington,1990,44%,437,486
California,1990,45%,419,484
Nevada,1990,24%,434,487
Arizona,1990,25%,445,497
Montana,1990,20%,464,523
Ohio,1990,22%,450,499
Colorado,1990,28%,456,513
Idaho,1990,17%,466,502
West Virginia,1990,15%,443,490
Tennessee,1990,12%,483,525
New Mexico,1990,12%,480,527
Kentucky,1990,10%,473,521
Wyoming,1990,13%,458,519
Michigan,1990,12%,454,514
Illinois,1990,16%,466,528
Minnesota,1990,14%,477,542
Alabama,1990,8%,470,514
Kansas,1990,10%,492,548
Louisiana,1990,9%,476,517
Missouri,1990,12%,473,522
Nebraska,1990,10%,484,546
Oklahoma,1990,9%,478,523
Wisconsin,1990,11%,476,543
Utah,1990,5%,492,539
Arkansas,1990,6%,470,511
Iowa,1990,5%,511,577
South Dakota,1990,5%,506,555
Mississippi,1990,4%,477,519
North Dakota,1990,6%,505,564
All Students,1990,0%,0,0
